smještaj;datum aktivacije;naziv;mjesto troška;šifra
4110;25.01.2013;raèunalo;2110;921668
2000;25.03.2015;monitor;2110;936498
4110;25.01.2013;ladièar;2110;958746
3010;25.01.2013;stol;2110;954897
4110;25.01.2017;stolica;1100;951258
4110;25.07.2016;pisac 2;1100;958746
3010;25.01.2015;raèunalo 8;1100;935877
4110;25.01.2012;monitor 6;1100;958887
1010;25.05.2016;telefon 3;1100;928846
4110;05.01.2013;stroj za laminaciju;1100;945687
2010;05.15.2017;stolica;2110;921187
1010;15.06.2018;raèunalo;2110;913687
2010;15.09.2019;monitor;2110;921858
4110;25.07.2015;raèunalo 3;3010;924887
3300;04.04.2017;monitor 4;2110;974556
4110;05.03.2014;raèunalo 1;2110;954878
3500;25.11.2015;stolica 2;2110;921877
